rm,Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
14,Jaylen Adams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Torrey Craig,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Marcus Smart,38:27,0,3,0.000,0,2,0.000,3,4,0.750,0,1,1,7,0,2,2,2,3,0
1,Jaylen Brown,37:38,13,24,0.542,3,8,0.375,4,4,1.000,0,5,5,4,2,1,0,3,33,8
2,Jayson Tatum,32:49,12,28,0.429,6,13,0.462,0,0,,0,7,7,2,2,1,2,2,30,-6
3,Daniel Theis,24:40,4,8,0.500,2,6,0.333,0,0,,0,3,3,3,0,0,0,1,10,7
4,Tristan Thompson,22:24,6,10,0.600,0,0,,0,0,,4,4,8,1,0,0,0,3,12,-6
6,Jeff Teague,25:00,7,15,0.467,4,4,1.000,1,2,0.500,2,1,3,4,2,1,0,1,19,8
7,Semi Ojeleye,18:59,2,2,1.000,1,1,1.000,0,1,0.000,1,3,4,1,0,0,0,1,5,20
8,Grant Williams,14:35,1,5,0.200,1,4,0.250,0,0,,0,1,1,1,1,0,1,2,3,-19
9,Payton Pritchard,13:00,1,4,0.250,1,2,0.500,0,0,,0,1,1,0,1,0,0,1,3,-2
10,Robert Williams,12:28,2,2,1.000,0,0,,0,0,,3,1,4,0,0,1,1,1,4,-5
11,Tremont Waters,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Aaron Nesmith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Javonte Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Carsen Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Trae Young,25:57,10,12,0.833,5,6,0.833,12,14,0.857,2,4,6,7,0,0,4,1,37,30
1,De'Andre Hunter,25:54,5,6,0.833,1,1,1.000,0,0,,0,3,3,1,0,0,2,3,11,40
2,Danilo Gallinari,24:26,4,6,0.667,1,2,0.500,4,4,1.000,0,4,4,3,0,0,3,2,13,31
3,Cam Reddish,23:46,6,11,0.545,1,3,0.333,2,2,1.000,1,5,6,0,2,0,1,3,15,27
4,John Collins,18:03,6,10,0.600,0,2,0.000,2,2,1.000,0,4,4,2,0,2,0,4,14,21
6,Solomon Hill,28:24,0,3,0.000,0,3,0.000,0,0,,0,3,3,0,0,1,3,2,0,-8
7,Kevin Huerter,27:03,4,10,0.400,2,6,0.333,1,2,0.500,0,2,2,4,1,0,0,2,11,0
8,Bogdan Bogdanović,24:56,5,12,0.417,3,8,0.375,2,3,0.667,0,7,7,2,1,0,2,2,15,0
9,Bruno Fernando,18:08,2,3,0.667,0,0,,1,2,0.500,3,4,7,1,2,0,3,3,5,-1
10,Brandon Goodwin,13:14,1,4,0.250,1,3,0.333,0,0,,0,1,1,4,0,0,1,4,3,-16
11,Nathan Knight,5:04,0,2,0.000,0,0,,0,0,,2,1,3,0,0,0,2,2,0,-12
12,Skylar Mays,5:04,0,1,0.000,0,1,0.000,0,0,,0,0,0,0,0,0,0,1,0,-12
0,Patrick Williams,33:02,5,11,0.455,1,3,0.333,5,6,0.833,0,4,4,1,1,1,0,2,16,-23
1,Coby White,30:28,2,11,0.182,1,7,0.143,4,4,1.000,0,2,2,7,2,0,3,2,9,-13
2,Lauri Markkanen,30:12,6,9,0.667,4,6,0.667,5,5,1.000,1,6,7,4,2,0,2,1,21,-34
3,Wendell Carter Jr.,25:46,2,5,0.400,0,2,0.000,2,2,1.000,1,5,6,2,0,0,3,3,6,-13
4,Zach LaVine,25:18,9,19,0.474,1,8,0.125,3,3,1.000,1,1,2,1,1,0,5,5,22,-26
6,Otto Porter Jr.,23:22,5,10,0.500,0,2,0.000,4,4,1.000,3,2,5,1,2,0,1,2,14,-9
7,Ryan Arcidiacono,19:35,2,6,0.333,1,4,0.250,0,0,,0,3,3,2,1,0,0,2,5,6
8,Chandler Hutchison,18:35,1,6,0.167,0,0,,0,0,,1,4,5,0,0,0,1,3,2,4
9,Daniel Gafford,16:54,2,4,0.500,0,0,,1,4,0.250,0,1,1,0,0,1,0,1,5,2
10,Adam Mokoka,16:47,2,6,0.333,0,3,0.000,0,0,,1,1,2,2,1,1,0,1,4,6
11,Cristiano Felício,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Tomáš Satoranský,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Denzel Valentine,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Luke Kornet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,DeMar DeRozan,34:53,7,14,0.500,0,0,,14,15,0.933,2,7,9,9,1,1,1,1,28,-1
1,Lonnie Walker IV,34:23,6,9,0.667,3,4,0.750,1,1,1.000,1,5,6,2,1,1,1,3,16,0
2,Keldon Johnson,32:01,5,10,0.500,1,3,0.333,5,7,0.714,0,5,5,3,3,0,2,1,16,3
3,Dejounte Murray,30:39,9,15,0.600,1,3,0.333,2,2,1.000,0,6,6,9,2,0,3,3,21,6
4,LaMarcus Aldridge,28:46,9,17,0.529,1,4,0.250,1,1,1.000,0,3,3,1,0,1,2,3,20,-2
6,Rudy Gay,21:06,4,9,0.444,1,5,0.200,1,2,0.500,0,7,7,1,0,3,1,1,10,14
7,Devin Vassell,19:40,1,4,0.250,1,2,0.500,0,0,,1,2,3,0,0,1,0,1,3,13
8,Patty Mills,19:18,5,11,0.455,2,4,0.500,1,1,1.000,0,2,2,2,0,0,0,4,13,13
9,Jakob Poeltl,19:14,2,6,0.333,0,0,,0,0,,4,3,7,1,1,1,0,1,4,14
10,Keita Bates-Diop,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Tre Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Drew Eubanks,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Trey Lyles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Ja Morant,35:10,18,27,0.667,1,2,0.500,7,8,0.875,0,2,2,9,2,1,1,1,44,10
1,Dillon Brooks,33:13,7,14,0.500,1,3,0.333,1,1,1.000,1,3,4,6,2,0,2,6,16,-10
2,Jonas Valančiūnas,29:33,6,11,0.545,1,1,1.000,2,6,0.333,3,10,13,2,1,1,1,4,15,-4
3,Kyle Anderson,28:50,3,8,0.375,1,3,0.333,0,0,,0,10,10,2,0,0,2,3,7,-6
4,Grayson Allen,26:57,2,7,0.286,2,6,0.333,0,0,,0,2,2,5,0,1,0,1,6,-3
6,Brandon Clarke,25:51,5,9,0.556,0,2,0.000,0,1,0.000,0,3,3,0,0,1,1,1,10,-8
7,De'Anthony Melton,24:32,1,6,0.167,1,3,0.333,0,0,,0,2,2,1,0,2,0,1,3,-7
8,Tyus Jones,13:35,3,5,0.600,0,1,0.000,1,2,0.500,0,1,1,1,0,0,2,0,7,-20
9,Gorgui Dieng,11:46,2,3,0.667,1,2,0.500,0,0,,0,1,1,1,1,2,1,2,5,-6
10,Desmond Bane,10:33,2,5,0.400,2,4,0.500,0,0,,1,3,4,0,0,0,1,1,6,-6
11,John Konchar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Sean McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Blake Griffin,35:00,6,13,0.462,0,5,0.000,3,5,0.600,0,7,7,2,0,0,2,2,15,-15
1,Mason Plumlee,32:12,7,8,0.875,0,0,,0,0,,1,7,8,6,0,0,0,4,14,-9
2,Jerami Grant,31:25,4,11,0.364,1,5,0.200,0,0,,0,1,1,3,1,1,0,0,9,-14
3,Killian Hayes,21:12,3,6,0.500,1,2,0.500,0,0,,0,1,1,3,0,0,4,2,7,-3
4,Delon Wright,19:09,2,5,0.400,1,3,0.333,0,0,,0,2,2,4,1,0,1,0,5,3
6,Josh Jackson,28:51,8,14,0.571,3,7,0.429,0,0,,0,6,6,2,1,0,2,5,19,-13
7,Derrick Rose,26:48,7,13,0.538,1,3,0.333,0,2,0.000,0,1,1,6,2,1,1,1,15,-7
8,Svi Mykhailiuk,16:35,1,8,0.125,1,8,0.125,0,0,,0,2,2,1,0,0,0,1,3,4
9,Jahlil Okafor,15:18,4,7,0.571,0,0,,0,0,,4,3,7,1,0,0,2,4,8,-1
10,Sekou Doumbouya,13:30,3,8,0.375,0,2,0.000,0,1,0.000,2,7,9,1,0,0,0,1,6,5
11,Rodney McGruder,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Saddiq Bey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Isaiah Stewart,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Wayne Ellington,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Josh Okogie,32:33,4,9,0.444,1,4,0.250,3,3,1.000,1,3,4,2,0,0,2,3,12,17
1,Karl-Anthony Towns,30:26,6,10,0.600,2,4,0.500,8,8,1.000,3,8,11,7,1,2,4,4,22,11
2,Malik Beasley,26:37,10,18,0.556,3,9,0.333,0,0,,1,3,4,2,1,0,1,3,23,12
3,Ricky Rubio,25:25,1,4,0.250,0,1,0.000,1,2,0.500,0,1,1,3,2,0,1,3,3,17
4,Jake Layman,16:33,0,3,0.000,0,1,0.000,0,0,,0,1,1,0,0,0,0,0,0,-15
6,D'Angelo Russell,33:20,7,16,0.438,4,11,0.364,0,0,,1,4,5,4,1,0,2,2,18,5
7,Anthony Edwards,25:09,5,12,0.417,1,5,0.200,4,4,1.000,2,2,4,4,0,0,1,1,15,4
8,Jarrett Culver,20:37,3,6,0.500,0,1,0.000,4,5,0.800,2,8,10,2,0,0,0,0,10,7
9,Naz Reid,17:34,2,5,0.400,0,1,0.000,4,6,0.667,2,3,5,1,0,3,0,0,8,-1
10,Juancho Hernangómez,11:46,0,5,0.000,0,4,0.000,0,0,,0,3,3,0,1,0,0,0,0,-7
11,Ed Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Jarred Vanderbilt,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Jaden McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Harrison Barnes,41:57,8,15,0.533,0,3,0.000,5,7,0.714,1,8,9,5,2,0,1,1,21,3
1,Buddy Hield,41:07,7,15,0.467,5,11,0.455,3,3,1.000,1,3,4,3,1,0,3,5,22,-2
2,De'Aaron Fox,38:43,8,20,0.400,1,2,0.500,4,5,0.800,2,2,4,7,1,1,2,2,21,-2
3,Marvin Bagley III,27:21,5,15,0.333,0,4,0.000,3,4,0.750,2,8,10,0,0,1,2,6,13,2
4,Richaun Holmes,22:59,3,6,0.500,0,0,,0,0,,6,3,9,1,0,1,1,6,6,1
6,Tyrese Haliburton,30:00,3,7,0.429,2,5,0.400,4,4,1.000,1,1,2,4,0,1,0,0,12,1
7,Cory Joseph,29:22,6,10,0.600,2,5,0.400,1,2,0.500,0,3,3,4,1,2,2,4,15,8
8,Hassan Whiteside,17:34,2,6,0.333,0,0,,0,2,0.000,2,7,9,1,0,1,2,2,4,3
9,Nemanja Bjelica,15:56,3,8,0.375,0,1,0.000,4,4,1.000,3,1,4,2,0,0,1,3,10,-4
10,Jahmi'us Ramsey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Kyle Guy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Robert Woodard II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Justin James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Glenn Robinson III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Harrison Barnes,41:57,0.581,0.533,0.200,0.467,2.3,22.0,11.4,18.1,2.3,0.0,5.2,18.6,128,109,5.7,,,,
1,Buddy Hield,41:07,0.674,0.633,0.733,0.200,2.4,8.4,5.2,10.7,1.2,0.0,15.5,19.2,122,114,2.4,,,,
2,De'Aaron Fox,38:43,0.473,0.425,0.100,0.250,5.1,6.0,5.5,28.1,1.3,2.0,8.3,25.6,110,113,2.0,,,,
3,Marvin Bagley III,27:21,0.388,0.333,0.267,0.267,7.2,33.7,19.4,0.0,0.0,2.8,10.7,28.0,83,109,-12.5,,,,
4,Richaun Holmes,22:59,0.500,0.500,0.000,0.000,25.6,15.0,20.8,6.1,0.0,3.3,14.3,12.5,122,112,-5.6,,,,
6,Tyrese Haliburton,30:00,0.685,0.571,0.714,0.571,3.3,3.8,3.5,17.8,0.0,2.6,0.0,11.9,165,116,6.2,,,,
7,Cory Joseph,29:22,0.689,0.700,0.500,0.200,0.0,11.8,5.4,21.1,1.6,5.2,15.5,17.9,123,108,7.4,,,,
8,Hassan Whiteside,17:34,0.291,0.333,0.000,0.333,11.2,45.9,27.2,7.7,0.0,4.4,22.5,20.7,64,105,-9.8,,,,
9,Nemanja Bjelica,15:56,0.512,0.375,0.125,0.500,18.5,7.2,13.3,19.0,0.0,0.0,9.3,27.6,121,117,-0.7,,,,
10,Jahmi'us Ramsey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,
11,Kyle Guy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,
12,Robert Woodard II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,
13,Justin James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,
14,Glenn Robinson III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,
0,Bojan Bogdanović,33:12,5,14,0.357,4,11,0.364,1,1,1.000,1,5,6,2,0,0,3,2,15,22
1,Donovan Mitchell,30:47,6,16,0.375,4,10,0.400,4,4,1.000,0,3,3,5,1,0,2,2,20,11
2,Mike Conley,29:35,6,15,0.400,4,7,0.571,2,3,0.667,0,3,3,2,0,0,2,3,18,14
3,Rudy Gobert,28:08,8,10,0.800,0,0,,4,6,0.667,4,13,17,2,1,0,2,2,20,15
4,Royce O'Neale,28:05,0,5,0.000,0,4,0.000,0,0,,3,4,7,0,0,1,0,3,0,6
6,Joe Ingles,26:43,5,10,0.500,3,8,0.375,1,1,1.000,0,5,5,7,1,1,1,0,14,14
7,Jordan Clarkson,22:09,6,12,0.500,3,6,0.500,0,0,,1,6,7,1,0,1,1,0,15,16
8,Derrick Favors,16:17,5,5,1.000,0,0,,0,0,,2,5,7,3,0,0,0,3,10,5
9,Georges Niang,8:31,0,2,0.000,0,2,0.000,0,0,,0,0,0,0,0,0,0,1,0,4
10,Miye Oni,3:51,1,2,0.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,-2
11,Udoka Azubuike,3:35,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0
12,Elijah Hughes,3:09,0,1,0.000,0,0,,3,4,0.750,0,1,1,1,0,0,0,0,3,-2
13,Juwan Morgan,3:09,0,1,0.000,0,1,0.000,0,0,,0,1,1,0,0,0,0,0,0,-2
14,Shaquille Harrison,2:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
0,CJ McCollum,34:10,7,19,0.368,3,8,0.375,6,6,1.000,1,3,4,3,0,1,0,3,23,-11
1,Damian Lillard,33:41,4,12,0.333,1,7,0.143,0,1,0.000,0,4,4,7,1,1,1,1,9,-21
2,Derrick Jones Jr.,25:35,3,9,0.333,3,5,0.600,0,0,,1,3,4,0,0,0,1,3,9,-16
3,Jusuf Nurkić,21:52,5,9,0.556,1,2,0.500,2,2,1.000,1,2,3,3,1,0,2,3,13,-10
4,Robert Covington,21:25,0,3,0.000,0,3,0.000,1,2,0.500,0,4,4,3,1,0,0,2,1,-18
6,Gary Trent Jr.,26:08,4,12,0.333,3,5,0.600,0,0,,0,2,2,3,2,0,0,0,11,-10
7,Enes Freedom,25:54,7,7,1.000,0,0,,0,0,,1,7,8,0,0,0,0,0,14,-10
8,Carmelo Anthony,24:04,5,12,0.417,0,0,,5,6,0.833,1,3,4,0,1,0,1,2,15,-3
9,Rodney Hood,13:50,0,3,0.000,0,0,,0,0,,0,3,3,2,0,0,0,0,0,-1
10,Harry Giles,4:27,1,2,0.500,1,1,1.000,0,0,,0,2,2,0,0,1,0,1,3,0
11,CJ Elleby,4:27,1,2,0.500,0,1,0.000,0,0,,1,1,2,1,0,0,0,2,2,0
12,Keljin Blevins,4:27,0,2,0.000,0,1,0.000,0,0,,0,0,0,1,0,0,1,1,0,0
0,Josh Richardson,36:16,5,11,0.455,2,7,0.286,0,0,,1,6,7,1,1,0,2,4,12,-9
1,Luka Dončić,35:57,11,26,0.423,0,6,0.000,10,12,0.833,2,6,8,5,0,0,1,2,32,-9
2,Dorian Finney-Smith,35:48,4,11,0.364,1,6,0.167,2,2,1.000,1,7,8,3,2,0,0,3,11,11
3,Tim Hardaway Jr.,26:48,3,10,0.300,3,8,0.375,3,6,0.500,0,4,4,0,1,0,0,1,12,-4
4,Dwight Powell,17:32,1,3,0.333,0,0,,0,0,,1,1,2,1,1,0,2,3,2,-3
6,Maxi Kleber,26:53,2,8,0.250,2,7,0.286,4,4,1.000,1,2,3,1,0,0,1,4,10,-19
7,Trey Burke,19:35,3,6,0.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,7,-1
8,Jalen Brunson,18:11,5,8,0.625,0,2,0.000,2,2,1.000,0,2,2,4,0,0,3,2,12,3
9,James Johnson,13:42,0,0,,0,0,,0,0,,0,3,3,1,1,0,1,3,0,2
10,Willie Cauley-Stein,6:02,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,1,2,14
11,Josh Green,3:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-5
12,Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Wes Iwundu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Tyrell Terry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Mikal Bridges,35:57,5,11,0.455,4,7,0.571,4,4,1.000,2,5,7,0,0,2,0,2,18,9
1,Devin Booker,34:07,8,15,0.533,2,6,0.333,4,6,0.667,0,5,5,3,2,0,8,4,22,7
2,Chris Paul,27:45,3,9,0.333,0,2,0.000,2,2,1.000,1,3,4,5,2,0,3,3,8,-10
3,Jae Crowder,25:57,1,6,0.167,1,5,0.200,1,2,0.500,0,9,9,4,0,0,1,0,4,-12
4,Deandre Ayton,24:10,5,9,0.556,0,0,,3,6,0.500,1,7,8,1,1,2,2,4,13,-4
6,Cameron Johnson,25:32,5,9,0.556,1,3,0.333,4,4,1.000,0,5,5,1,1,0,0,2,15,9
7,Cameron Payne,20:15,5,9,0.556,1,2,0.500,0,0,,1,2,3,3,0,1,1,2,11,14
8,Jalen Smith,16:13,2,3,0.667,0,0,,0,2,0.000,1,2,3,1,0,1,1,1,4,6
9,Jevon Carter,13:53,0,3,0.000,0,3,0.000,0,0,,0,2,2,2,0,0,1,2,0,-3
10,Langston Galloway,8:34,4,5,0.800,2,2,1.000,1,1,1.000,0,1,1,1,0,0,0,1,11,2
11,Damian Jones,7:37,0,0,,0,0,,0,0,,0,1,1,0,1,1,1,5,0,2
